lead_id,created_at,email_domain,company_id,company_name,campaign_id,utm_campaign,lifecycle_stage,opportunity_id,opportunity_created_at,amount,close_date,close_status,trial_start_at,trial_end_at
LEAD_0001,2025-02-18,hoolidynamics.com,ACC_0001,Hooli Dynamics,CMP_1016,camp_16,Closed Lost,OPP_0001,2025-02-25,31776.0,2025-03-28,Lost,2025-02-23,2025-03-09
LEAD_0002,2025-08-16,wayneindustries.com,ACC_0002,Wayne Industries,CMP_1006,camp_6,Closed Lost,OPP_0002,2025-08-23,4726.0,2025-12-01,Lost,2025-08-16,2025-08-30
LEAD_0003,2025-04-18,umbrelladynamics.com,ACC_0003,Umbrella Dynamics,CMP_1015,camp_15,MQL,,,,,,,
LEAD_0004,2025-04-23,globexenterprises.com,ACC_0004,Globex Enterprises,CMP_1009,camp_9,Closed Lost,OPP_0004,2025-05-26,26723.0,2025-05-28,Lost,,
LEAD_0005,2025-02-05,acmeenterprises.com,ACC_0005,Acme Enterprises,CMP_1003,camp_3,MQL,,,,,,2025-02-12,2025-02-26
LEAD_0006,2025-05-19,umbrellaholdings.com,ACC_0006,Umbrella Holdings,CMP_1007,camp_7,SQL,,,,,,2025-05-19,2025-06-02
LEAD_0007,2025-09-24,vehementnetworks.com,ACC_0007,Vehement Networks,CMP_1003,camp_3,Lead,,,,,,,
LEAD_0008,2025-03-24,wonkaindustries.com,ACC_0008,Wonka Industries,CMP_1016,camp_16,MQL,,,,,,2025-03-24,2025-04-07
LEAD_0009,2025-06-08,vandelaysolutions.com,ACC_0009,Vandelay Solutions,CMP_1016,camp_16,Closed Lost,OPP_0009,2025-06-17,4212.0,2025-08-10,Lost,2025-06-13,2025-06-27
LEAD_0010,2025-03-07,gmail.com,ACC_0010,Soylent Systems,CMP_1011,camp_11,Closed Won,OPP_0010,2025-03-26,12725.0,2025-06-09,Won,,
LEAD_0011,2025-09-30,vehementgroup.com,ACC_0011,Vehement Group,CMP_1002,camp_2,Closed Won,OPP_0011,2025-11-07,20071.0,2026-01-10,Won,2025-10-08,2025-10-22
LEAD_0012,2025-05-11,initechcorporation.com,ACC_0012,Initech Corporation,CMP_1004,camp_4,SQL,,,,,,,
