company_id,lead_id,created_at,email_domain,company_name,campaign_id,utm_campaign,lifecycle_stage,opportunity_id,opportunity_created_at,amount,close_date,close_status,trial_start_at,trial_end_at,is_opportunity,is_won,events,active_days,users,logins,feature_x,feature_y,plan_tiers,activated_30d
ACC_0001,LEAD_0001,2025-02-18,hoolidynamics.com,Hooli Dynamics,CMP_1016,camp_16,Closed Lost,OPP_0001,2025-02-25,31776.0,2025-03-28,Lost,2025-02-23,2025-03-09,True,False,46.0,15.0,22.0,27.0,6.0,7.0,4.0,False
ACC_0002,LEAD_0002,2025-08-16,wayneindustries.com,Wayne Industries,CMP_1006,camp_6,Closed Lost,OPP_0002,2025-08-23,4726.0,2025-12-01,Lost,2025-08-16,2025-08-30,True,False,56.0,15.0,8.0,17.0,15.0,9.0,4.0,False
ACC_0003,LEAD_0003,2025-04-18,umbrelladynamics.com,Umbrella Dynamics,CMP_1015,camp_15,MQL,,,,,,,,False,False,,,,,,,,False
ACC_0004,LEAD_0004,2025-04-23,globexenterprises.com,Globex Enterprises,CMP_1009,camp_9,Closed Lost,OPP_0004,2025-05-26,26723.0,2025-05-28,Lost,,,True,False,,,,,,,,False
ACC_0005,LEAD_0005,2025-02-05,acmeenterprises.com,Acme Enterprises,CMP_1003,camp_3,MQL,,,,,,2025-02-12,2025-02-26,False,False,50.0,15.0,22.0,22.0,8.0,9.0,3.0,False
ACC_0006,LEAD_0006,2025-05-19,umbrellaholdings.com,Umbrella Holdings,CMP_1007,camp_7,SQL,,,,,,2025-05-19,2025-06-02,False,False,59.0,13.0,5.0,24.0,12.0,11.0,4.0,False
ACC_0007,LEAD_0007,2025-09-24,vehementnetworks.com,Vehement Networks,CMP_1003,camp_3,Lead,,,,,,,,False,False,,,,,,,,False
ACC_0008,LEAD_0008,2025-03-24,wonkaindustries.com,Wonka Industries,CMP_1016,camp_16,MQL,,,,,,2025-03-24,2025-04-07,False,False,55.0,15.0,9.0,20.0,14.0,9.0,4.0,False
ACC_0009,LEAD_0009,2025-06-08,vandelaysolutions.com,Vandelay Solutions,CMP_1016,camp_16,Closed Lost,OPP_0009,2025-06-17,4212.0,2025-08-10,Lost,2025-06-13,2025-06-27,True,False,62.0,15.0,12.0,25.0,16.0,7.0,4.0,False
ACC_0010,LEAD_0010,2025-03-07,gmail.com,Soylent Systems,CMP_1011,camp_11,Closed Won,OPP_0010,2025-03-26,12725.0,2025-06-09,Won,,,True,True,,,,,,,,False
ACC_0011,LEAD_0011,2025-09-30,vehementgroup.com,Vehement Group,CMP_1002,camp_2,Closed Won,OPP_0011,2025-11-07,20071.0,2026-01-10,Won,2025-10-08,2025-10-22,True,True,231.0,59.0,30.0,106.0,41.0,40.0,3.0,True
ACC_0012,LEAD_0012,2025-05-11,initechcorporation.com,Initech Corporation,CMP_1004,camp_4,SQL,,,,,,,,False,False,,,,,,,,False
ACC_0013,LEAD_0013,2025-07-04,yahoo.com,Vehement Group,CMP_1018,camp_18,SQL,,,,,,2025-07-06,2025-07-20,False,False,57.0,14.0,22.0,29.0,10.0,10.0,4.0,False
ACC_0014,LEAD_0014,2025-06-12,hooligroup.com,Hooli Group,CMP_1014,camp_14,SQL,,,,,,,,False,False,,,,,,,,False
ACC_0015,LEAD_0015,2025-09-09,acmeindustries.com,Acme Industries,CMP_1016,camp_16,Closed Lost,OPP_0015,2025-10-02,30843.0,2025-10-10,Lost,2025-09-12,2025-09-26,True,False,60.0,14.0,18.0,29.0,11.0,13.0,4.0,False
ACC_0016,LEAD_0016,2025-06-06,initechgroup.com,Initech Group,CMP_1006,camp_6,Closed Won,OPP_0016,2025-06-19,10700.0,2025-07-30,Won,2025-06-08,2025-06-22,True,True,322.0,76.0,36.0,135.0,62.0,48.0,3.0,True
ACC_0017,LEAD_0017,2025-03-04,umbrellaindustries.com,Umbrella Industries,CMP_1018,camp_18,Closed Lost,OPP_0017,2025-03-19,10396.0,2025-06-15,Lost,2025-03-09,2025-03-23,True,False,43.0,14.0,19.0,19.0,11.0,5.0,4.0,False
ACC_0018,LEAD_0018,2025-04-11,starkenterprises.com,Stark Enterprises,CMP_1002,camp_2,Closed Lost,OPP_0018,2025-04-18,16300.0,2025-07-01,Lost,2025-04-15,2025-04-29,True,False,54.0,15.0,5.0,27.0,9.0,4.0,4.0,False
ACC_0019,LEAD_0019,2025-09-23,vandelaysolutions.com,Vandelay Solutions,,,SQL,,,,,,2025-09-27,2025-10-11,False,False,68.0,15.0,24.0,39.0,11.0,6.0,4.0,False
ACC_0020,LEAD_0020,2025-07-30,hooliholdings.com,Hooli Holdings,,,SQL,,,,,,2025-08-05,2025-08-19,False,False,51.0,15.0,3.0,21.0,8.0,9.0,4.0,False
ACC_0021,LEAD_0021,2025-06-13,acmelabs.com,Acme Labs,CMP_1013,camp_13,MQL,,,,,,2025-06-19,2025-07-03,False,False,45.0,15.0,23.0,18.0,7.0,13.0,3.0,False
ACC_0022,LEAD_0022,2025-06-21,yahoo.com,Massive Labs,CMP_1017,camp_17,SQL,,,,,,,,False,False,,,,,,,,False
ACC_0023,LEAD_0023,2025-09-09,vehemententerprises.com,Vehement Enterprises,CMP_1008,camp_8,Closed Won,OPP_0023,2025-10-12,19025.0,2025-10-23,Won,2025-09-18,2025-10-02,True,True,300.0,70.0,35.0,144.0,54.0,40.0,3.0,True
ACC_0024,LEAD_0024,2025-08-17,wonkalabs.com,Wonka Labs,CMP_1018,camp_18,Closed Won,OPP_0024,2025-09-18,17561.0,2025-12-07,Won,2025-08-22,2025-09-05,True,True,251.0,64.0,11.0,103.0,53.0,44.0,3.0,True
