campaign_id,campaign_name,channel,impressions,clicks,spend,leads,opportunities,won,pipeline,won_arr,ctr,cpl,cac,roas
CMP_1013,APAC_Brand_LinkedIn,Display,1112953,8937,14624.73,30,9,6,208053.0,136254.0,0.008029988687752313,487.491,2437.455,9.316684820847975
CMP_1014,LATAM_Competitor_Display,Display,1129931,8952,14659.74,29,9,6,171514.0,134240.0,0.007922607663653798,505.50827586206896,2443.29,9.157051898601203
CMP_1016,APAC_Competitor_Search,Display,1124184,8829,14736.88,28,12,6,238290.0,114974.0,0.007853696547896074,526.3171428571428,2456.1466666666665,7.801787081118935
CMP_1012,LATAM_FeatureX_Display,Display,1126650,8981,14675.97,28,9,7,139924.0,110167.0,0.007971419695557626,524.1417857142857,2096.5671428571427,7.506624775057459
CMP_1017,US_Brand_LinkedIn,Display,1130359,8721,14406.66,35,7,3,128763.0,69346.0,0.007715247987586245,411.61885714285717,4802.22,4.813468215394824
CMP_1009,US_FeatureX_Search,Paid Social,845881,16918,92046.33,31,14,6,306410.0,137864.0,0.020000449235767204,2969.2364516129032,15341.055,1.4977674829621126
CMP_1008,EMEA_Brand_Search,Display,1122550,9072,15149.4,20,4,1,94296.0,19025.0,0.008081599928733687,757.47,15149.4,1.2558253132137247
CMP_1002,APAC_Brand_Search,Paid Social,831242,15912,87523.44,21,7,3,136343.0,75208.0,0.01914243986709045,4167.782857142857,29174.48,0.8592898085358619
CMP_1019,LATAM_Brand_Display,Paid Social,832009,16216,91943.64,23,9,4,148612.0,68844.0,0.019490173784177816,3997.5495652173913,22985.91,0.7487630465794045
CMP_1011,LATAM_Brand_LinkedIn,Paid Social,842910,17242,93936.42,21,7,3,136673.0,66870.0,0.020455327377774613,4473.162857142857,31312.14,0.7118644717352439
CMP_1015,LATAM_Competitor_Display,Paid Social,856726,17795,96826.31,27,9,3,194984.0,61846.0,0.02077093493135495,3586.1596296296298,32275.436666666665,0.6387313530795504
CMP_1005,US_FeatureX_Search,Paid Social,863764,17719,98963.73,21,9,3,209667.0,62898.0,0.02051370513242043,4712.558571428572,32987.909999999996,0.6355661816708
CMP_1010,LATAM_Competitor_LinkedIn,Paid Social,831461,16091,87564.71,22,4,2,101470.0,53767.0,0.019352681605030182,3980.2140909090913,43782.355,0.6140259015304225
CMP_1004,US_FeatureY_Display,Paid Social,848917,17053,92441.71,27,13,3,220684.0,48364.0,0.020087947349387514,3423.7670370370374,30813.903333333335,0.5231837446537931
CMP_1007,EMEA_FeatureY_Display,Paid Social,822697,16514,89978.75,19,5,2,94451.0,43524.0,0.020073003791189224,4735.723684210527,44989.375,0.4837142102996541
CMP_1003,APAC_FeatureY_Search,Paid Search,1407232,55976,225307.37,24,9,5,178710.0,102134.0,0.03977737857012916,9387.807083333333,45061.474,0.453309627643339
CMP_1001,EMEA_FeatureY_Search,Paid Social,853149,16853,93177.5,21,6,2,106737.0,37143.0,0.019753876520982854,4437.023809523809,46588.75,0.3986262778031177
CMP_1018,APAC_FeatureX_LinkedIn,Paid Social,849818,17169,94132.27,20,6,1,114454.0,17561.0,0.020203149380220234,4706.6135,94132.27,0.18655663992805016
CMP_1006,EMEA_Competitor_LinkedIn,Paid Search,1423132,55258,225777.43,20,7,2,129840.0,30650.0,0.03882844318025313,11288.8715,112888.715,0.1357531618638763
