event_time,company_id,user_id,event_type,plan_tier,seats_used
2025-02-23T08:06:00,ACC_0001,USR_0001_006,seat_added,starter,69
2025-02-24T22:56:00,ACC_0001,USR_0001_009,invite_sent,starter,14
2025-02-24T03:53:00,ACC_0001,USR_0001_014,feature_y_used,enterprise,55
2025-02-25T12:15:00,ACC_0001,USR_0001_010,login,trial,45
2025-02-25T23:46:00,ACC_0001,USR_0001_025,login,starter,43
2025-02-25T18:21:00,ACC_0001,USR_0001_022,login,trial,61
2025-02-25T20:16:00,ACC_0001,USR_0001_024,feature_x_used,pro,59
2025-02-25T23:33:00,ACC_0001,USR_0001_022,login,starter,94
2025-02-26T13:09:00,ACC_0001,USR_0001_006,login,starter,31
2025-02-26T16:05:00,ACC_0001,USR_0001_019,invite_sent,enterprise,11
2025-02-26T21:08:00,ACC_0001,USR_0001_004,login,trial,97
2025-02-26T02:49:00,ACC_0001,USR_0001_001,login,trial,7
2025-02-27T09:39:00,ACC_0001,USR_0001_010,login,trial,98
2025-02-28T23:33:00,ACC_0001,USR_0001_018,feature_y_used,trial,28
2025-02-28T07:01:00,ACC_0001,USR_0001_009,login,starter,63
2025-02-28T23:01:00,ACC_0001,USR_0001_014,seat_added,trial,2
2025-02-28T08:03:00,ACC_0001,USR_0001_022,login,trial,76
2025-02-28T08:03:00,ACC_0001,USR_0001_003,login,starter,28
2025-03-01T06:35:00,ACC_0001,USR_0001_001,login,trial,66
2025-03-01T22:36:00,ACC_0001,USR_0001_011,login,trial,98
2025-03-01T14:11:00,ACC_0001,USR_0001_022,login,starter,77
2025-03-01T23:51:00,ACC_0001,USR_0001_013,login,starter,39
2025-03-02T21:47:00,ACC_0001,USR_0001_014,feature_y_used,trial,49
2025-03-02T06:06:00,ACC_0001,USR_0001_021,invite_sent,starter,60
2025-03-02T21:01:00,ACC_0001,USR_0001_019,login,trial,34
2025-03-02T03:08:00,ACC_0001,USR_0001_012,feature_x_used,trial,85
2025-03-03T16:57:00,ACC_0001,USR_0001_019,feature_x_used,starter,45
2025-03-04T19:35:00,ACC_0001,USR_0001_010,login,pro,8
2025-03-04T16:53:00,ACC_0001,USR_0001_015,login,trial,63
2025-03-04T17:17:00,ACC_0001,USR_0001_025,login,trial,50
2025-03-05T03:27:00,ACC_0001,USR_0001_016,feature_x_used,trial,64
2025-03-05T00:00:00,ACC_0001,USR_0001_013,feature_y_used,trial,66
2025-03-05T12:59:00,ACC_0001,USR_0001_005,feature_y_used,starter,56
2025-03-05T12:00:00,ACC_0001,USR_0001_024,feature_y_used,starter,8
2025-03-06T16:13:00,ACC_0001,USR_0001_025,login,trial,19
2025-03-06T03:07:00,ACC_0001,USR_0001_006,feature_x_used,trial,96
2025-03-06T01:54:00,ACC_0001,USR_0001_003,feature_x_used,starter,48
2025-03-07T01:31:00,ACC_0001,USR_0001_014,login,pro,12
2025-03-07T15:35:00,ACC_0001,USR_0001_022,login,trial,59
2025-03-07T05:54:00,ACC_0001,USR_0001_003,login,trial,63
2025-03-07T07:26:00,ACC_0001,USR_0001_012,login,starter,45
2025-03-08T13:25:00,ACC_0001,USR_0001_007,login,pro,96
2025-03-08T23:43:00,ACC_0001,USR_0001_024,login,trial,5
2025-03-08T07:36:00,ACC_0001,USR_0001_002,feature_y_used,trial,47
2025-03-09T19:00:00,ACC_0001,USR_0001_023,invite_sent,starter,81
2025-03-09T19:12:00,ACC_0001,USR_0001_001,login,pro,2
2025-08-16T08:29:00,ACC_0002,USR_0002_007,login,trial,24
2025-08-16T15:47:00,ACC_0002,USR_0002_003,feature_y_used,trial,2
2025-08-17T17:46:00,ACC_0002,USR_0002_002,feature_x_used,trial,17
2025-08-17T22:10:00,ACC_0002,USR_0002_004,login,trial,17
2025-08-17T09:29:00,ACC_0002,USR_0002_005,login,pro,12
2025-08-18T10:25:00,ACC_0002,USR_0002_006,login,trial,23
2025-08-18T18:21:00,ACC_0002,USR_0002_005,seat_added,pro,20
2025-08-18T07:37:00,ACC_0002,USR_0002_003,invite_sent,pro,26
2025-08-19T23:51:00,ACC_0002,USR_0002_005,seat_added,trial,20
2025-08-19T14:20:00,ACC_0002,USR_0002_003,feature_y_used,trial,28
2025-08-20T03:50:00,ACC_0002,USR_0002_008,feature_y_used,trial,10
2025-08-20T04:08:00,ACC_0002,USR_0002_001,feature_x_used,starter,12
2025-08-20T20:54:00,ACC_0002,USR_0002_005,login,trial,16
2025-08-20T05:33:00,ACC_0002,USR_0002_005,login,trial,16
2025-08-20T16:57:00,ACC_0002,USR_0002_005,feature_x_used,enterprise,12
2025-08-20T10:07:00,ACC_0002,USR_0002_007,login,trial,19
2025-08-21T18:30:00,ACC_0002,USR_0002_001,feature_x_used,trial,9
2025-08-21T14:49:00,ACC_0002,USR_0002_002,login,trial,22
2025-08-22T23:53:00,ACC_0002,USR_0002_001,feature_y_used,trial,29
2025-08-22T04:09:00,ACC_0002,USR_0002_006,login,pro,19
2025-08-22T18:55:00,ACC_0002,USR_0002_002,feature_y_used,starter,16
2025-08-23T04:50:00,ACC_0002,USR_0002_005,feature_x_used,trial,19
2025-08-23T16:15:00,ACC_0002,USR_0002_002,seat_added,starter,13
2025-08-23T22:33:00,ACC_0002,USR_0002_004,feature_y_used,trial,1
2025-08-23T21:54:00,ACC_0002,USR_0002_001,login,trial,4
2025-08-23T17:30:00,ACC_0002,USR_0002_008,seat_added,enterprise,16
2025-08-23T00:01:00,ACC_0002,USR_0002_001,feature_x_used,trial,19
