date,campaign_id,campaign_name,channel,utm_source,utm_medium,utm_campaign,impressions,clicks,cost
2025-01-01,CMP_1001,EMEA_FeatureY_Search,Paid Social,linkedin,paid_social,camp_1,2948,61,482.13
2025-01-01,CMP_1002,APAC_Brand_Search,Paid Social,linkedin,paid_social,camp_2,4198,74,384.27
2025-01-01,CMP_1003,APAC_FeatureY_Search,Paid Search,google,paid_search,camp_3,7491,204,841.97
2025-01-01,CMP_1004,US_FeatureY_Display,Paid Social,linkedin,paid_social,camp_4,3216,71,341.43
2025-01-01,CMP_1005,US_FeatureX_Search,Paid Social,linkedin,paid_social,camp_5,4144,77,394.94
2025-01-01,CMP_1006,EMEA_Competitor_LinkedIn,Paid Search,google,paid_search,camp_6,4571,169,677.24
2025-01-01,CMP_1007,EMEA_FeatureY_Display,Paid Social,linkedin,paid_social,camp_7,3116,46,257.48
2025-01-01,CMP_1008,EMEA_Brand_Search,Display,gdn,display,camp_8,3417,30,39.51
2025-01-01,CMP_1009,US_FeatureX_Search,Paid Social,linkedin,paid_social,camp_9,4646,93,569.58
2025-01-01,CMP_1010,LATAM_Competitor_LinkedIn,Paid Social,linkedin,paid_social,camp_10,3121,36,142.96
2025-01-01,CMP_1011,LATAM_Brand_LinkedIn,Paid Social,linkedin,paid_social,camp_11,4450,97,365.24
2025-01-01,CMP_1012,LATAM_FeatureX_Display,Display,gdn,display,camp_12,5445,45,100.39
2025-01-01,CMP_1013,APAC_Brand_LinkedIn,Display,gdn,display,camp_13,4477,43,90.14
2025-01-01,CMP_1014,LATAM_Competitor_Display,Display,gdn,display,camp_14,4699,24,33.21
2025-01-01,CMP_1015,LATAM_Competitor_Display,Paid Social,linkedin,paid_social,camp_15,4852,61,441.18
2025-01-01,CMP_1016,APAC_Competitor_Search,Display,gdn,display,camp_16,4931,32,70.7
2025-01-01,CMP_1017,US_Brand_LinkedIn,Display,gdn,display,camp_17,5313,21,24.21
2025-01-01,CMP_1018,APAC_FeatureX_LinkedIn,Paid Social,linkedin,paid_social,camp_18,2413,49,210.1
2025-01-01,CMP_1019,LATAM_Brand_Display,Paid Social,linkedin,paid_social,camp_19,3343,44,348.37
2025-01-02,CMP_1001,EMEA_FeatureY_Search,Paid Social,linkedin,paid_social,camp_1,4345,61,211.46
2025-01-02,CMP_1002,APAC_Brand_Search,Paid Social,linkedin,paid_social,camp_2,3672,92,602.0
2025-01-02,CMP_1003,APAC_FeatureY_Search,Paid Search,google,paid_search,camp_3,6748,179,577.43
2025-01-02,CMP_1004,US_FeatureY_Display,Paid Social,linkedin,paid_social,camp_4,4056,76,442.94
2025-01-02,CMP_1005,US_FeatureX_Search,Paid Social,linkedin,paid_social,camp_5,3794,99,668.6
2025-01-02,CMP_1006,EMEA_Competitor_LinkedIn,Paid Search,google,paid_search,camp_6,5760,313,787.05
2025-01-02,CMP_1007,EMEA_FeatureY_Display,Paid Social,linkedin,paid_social,camp_7,3685,68,272.48
